Timestamp,Metric,Mean,StdDev
2024-04-23T12:01:21-04:00,raft.raft.fsm.apply,0.409827,0.174006
2024-04-23T12:01:21-04:00,raft.raft.fsm.apply,0.722569,0.329964
2024-04-23T12:01:31-04:00,raft.raft.fsm.apply,0.409827,0.174006
2024-04-23T12:01:31-04:00,raft.raft.fsm.apply,1.137134,0.669276
2024-04-23T12:01:31-04:00,raft.raft.fsm.apply,1.982118,0.955460
2024-04-23T12:01:41-04:00,raft.raft.fsm.apply,0.409827,0.174006
2024-04-23T12:01:41-04:00,raft.raft.fsm.apply,1.137134,0.669276
2024-04-23T12:01:41-04:00,raft.raft.fsm.apply,2.161061,1.026860
2024-04-23T12:01:41-04:00,raft.raft.fsm.apply,2.473672,1.351320
2024-04-23T12:01:51-04:00,raft.raft.fsm.apply,0.409827,0.174006
2024-04-23T12:01:51-04:00,raft.raft.fsm.apply,1.137134,0.669276
2024-04-23T12:01:51-04:00,raft.raft.fsm.apply,2.161061,1.026860
2024-04-23T12:01:51-04:00,raft.raft.fsm.apply,2.743543,1.378640
2024-04-23T12:02:01-04:00,raft.raft.fsm.apply,0.409827,0.174006
2024-04-23T12:02:01-04:00,raft.raft.fsm.apply,1.137134,0.669276
2024-04-23T12:02:01-04:00,raft.raft.fsm.apply,2.161061,1.026860
2024-04-23T12:02:01-04:00,raft.raft.fsm.apply,2.743543,1.378640
2024-04-23T12:02:11-04:00,raft.raft.fsm.apply,1.137134,0.669276
2024-04-23T12:02:11-04:00,raft.raft.fsm.apply,2.161061,1.026860
2024-04-23T12:02:11-04:00,raft.raft.fsm.apply,2.743543,1.378640
